"year","location","n","longitude","latitude"
1875,"Southwest Harbor",1,-68.324276961999,44.2792004289633
1875,"Stratford Shoal Light",1,-73.102912,41.151911
1875,"Thacher Island",2,-70.576309,42.637592
1875,"Turtle Island",1,-70.03422,44.43423
1875,"West Quoddy",3,-66.950649,44.815133
1875,"Winter Harbor",210,-68.09811741,44.39116851
1876,"Bar Harbor",1,-68.212219,44.387699
1876,"Baracoa",22,-74.49675,20.34659
1876,"Boothbay Harbor",1,-69.631851,43.851948
1876,"Canary Islands",1,-16.629129,28.291565
1876,"Cape Haitien",3,-72.199669,19.75622
1876,"Corsica Island",3,9.149022,42.30941
1876,"Cranberry Isles",1,-68.27013482,44.2585131
1876,"Crooked Island Passage",1,-74.583,22.917
1876,"Ellsworth",11,-68.42420475,44.54105229
1876,"Fire Island",1,-73.145947,40.6476
1876,"Haiti",1,-72.333336,18.533333
1876,"Highland Light",2,-70.0621,42.03926
1876,"Leghorn",43,10.3080108,43.551876
1876,"Northeast Harbor",1,NA,NA
1876,"Rock of Gibraltar",1,-5.346256,36.142558
1876,"Rockland",2,-69.10869077,44.1041007
1876,"Sandy Hook",1,-73.9952,40.4529
1876,"Santo Domingo",1,-69.929611,18.483402
1876,"Somes Sound",1,-68.30499878,44.31916539
1876,"Southwest Harbor",2,-68.324276961999,44.2792004289633
1876,"Turks Island Passage",1,-71.316667,21.416667
1876,"Turks and Caicos Islands",1,-72.305832,21.804132
1876,"Turtle Island",3,-70.03422,44.43423
1876,"West Gouldsboro",2,-68.09937127,44.46922347
1876,"Winter Harbor",137,-68.09811741,44.39116851
1877,"Bar Harbor",4,-68.212219,44.387699
1877,"Bass Harbor",3,-68.34644791,44.23879938
1877,"Boston",1,-71.057083,42.361145
1877,"Cherryfield",1,-67.926,44.607
1877,"Cranberry Isles",8,-68.27013482,44.2585131
1877,"Crow Island",1,-68.106123297633,44.3810536387025
1877,"Deer Isle",2,-68.67589735,44.21412573
1877,"Ellsworth",13,-68.42420475,44.54105229
1877,"Fox Islands",3,-68.8639267338772,44.1465638197881
1877,"Fox Islands",3,-69.7919898,43.7306406
1877,"Franklin",1,-68.225999096,44.585497658
1877,"Iron Bound",3,-68.133407,44.39197
1877,"Jordan Island",1,-68.1274198,44.4149593
1877,"Mark Island",2,-68.088018,44.362014
1877,"Matinicus Rock",1,-68.855033,43.783473
1877,"Newcastle",3,-69.535331192,44.034333196
1877,"Pemaquid Point",1,-69.5097685,43.840639
1877,"Portland",2,-70.310425,43.680031
